Vindhya A6 (79A),Pole 22
Pole 60,Pole 65
Pole 19,Pole 26
Pole 83,Pole 58
Vindhya A2-A4 (79F),Pole 66
Vindhya A4 (79B&79C),SCRC LAB
Pole 84,Vindhya A4 (79B&79C)
Pole 81,Pole 61
Pole 82,Vindhya A2-A4 (79F)
Pole 82,Pole 81
Pole 82,Pole 63
Pole 22,Pole 18
Pole 63,Vindhya A6 (79A)
SCRC LAB,Pole 62
Pole 58,Pole 65
Pole 77,Vindhya A2 (79E&79D)
SCRC LAB,Pole 65
Pole 60,Pole 21
Pole 20,Pole 83
Pole 77,Pole 78
Vindhya A2-A4 (79F),Pole 59
Pole 65,Pole 58
Pole 18,Pole 62
Pole 65,Pole 66
Smart pole,Pole 78
Pole 63,Pole 65
Pole 19,Pole 60
Pole 82,Pole 60
